id,type,name,text,cost,race,caster,attack,hp,set
AAB001,キャラ,ルーミア,登場時：自分のデッキから術者が『ルーミア』のスペルのカードを1枚手札に加えることが出来る。,1,妖怪,,1,2,第一弾
AAB002,キャラ,ひまわり妖精,破壊時：デッキからカードを1枚引く。,1,妖精,,0,2,第一弾
AAB003,キャラ,妖精メイド,登場時：相手の場のキャラ1体又は相手プレイヤーに1ダメージを与える。,1,妖精,,2,1,第一弾
AAB004,キャラ,ルナチャイルド,登場時：デッキから『サニーミルク』又は『スターサファイア』の名称を持つカードを1枚手札に加える。登場時：自分の場に存在する『サニーミルク』『ルナチャイルド』『スターサファイア』の種類数まで捨て札から種族が妖精のカードを裏で場に出すそれは妖精（キャラ種族妖精の1/1）として扱う。,1,妖精,,2,1,第一弾
AAB005,キャラ,スターサファイア,登場時：デッキから『サニーミルク』又は『ルナチャイルド』の名称を持つカードを1枚手札に加える。登場時：自分の場に存在する『サニーミルク』『ルナチャイルド』『スターサファイア』の種類数まで捨て札から種族が妖精のカードを裏で場に出すそれは妖精（キャラ種族妖精の1/1）として扱う。常時：自分の場の種族妖精のユニットが相手プレイヤーにダメージを与えた時に自分の捨て札から1枚を選んでそれをデッキボトムに加えることができる。,2,妖精,,2,1,第一弾
AAB006,キャラ,サニーミルク,登場時：デッキから『ルナチャイルド』又は『スターサファイア』の名称を持つカードを1枚手札に加える。登場時：自分の場に存在する『サニーミルク』『ルナチャイルド』『スターサファイア』の種類数まで捨て札から種族が妖精のカードを裏で場に出すそれは妖精（キャラ種族妖精の1/1）として扱う。常時：自分の場の種族妖精のユニットは速攻を得る。,3,妖精,,1,2,第一弾
AAB007,キャラ,小悪魔,登場時：自分の捨て札から属性がスペルのカードを1枚手札に加える。手札に加えたカードが3コスト以下でエンチャントを持つ場合そのカードを自分の場に置く事が出来る。,2,悪魔,,2,2,第一弾
AAB008,キャラ,鍵山 雛,登場時：デッキの上から1枚を自分の場に裏で置くそれは人形（キャラ種族人形1/1）として扱う。常時：相手プレイヤーのカード効果で自分の場のユニットが効果対象になった時その対象を自身に変更出来る。,2,人形,,2,3,第一弾
AAB009,キャラ,橙,登場時：自分のデッキの上5枚を見る、その中から、好きな枚数を好きな順にデッキトップに置き残りを捨て札に送る。,2,妖獣,,3,2,第一弾
AAB010,キャラ,メディスン・メランコリー,登場時：デッキの上から1枚を自分の場に裏で置くそれは人形（キャラ種族人形1/1）として扱う。起動 自ターンレスト：相手の場のキャラ1体に3ダメージを与える。,3,人形,,2,3,第一弾
AAB011,キャラ,秦 こころ,守護 常時：自身は+X/+X修正されるXは自分の捨て札に存在する種族の種類の数÷2として端数は切り上げる。,3,付喪神,,2,2,第一弾
AAB012,キャラ,魂魄 妖夢,速攻 2回攻撃,3,幽霊,,2,4,第一弾
AAB013,キャラ,比那名居 天子,登場時：場に存在するエンチャントを持つカード1枚を破壊する、破壊出来た場合自身を永続に+1/+1修正して守護を得る。,4,仙人,,4,5,第一弾
AAB014,キャラ,クラウンピース,登場時：相手の場のユニットを1体選ぶそれは場を離れるまで最大耐久を1に固定する。,4,妖精,,4,4,第一弾
AAB015,キャラ,リリーホワイト,登場時①：手札を1枚捨てるその後自分の捨て札から4コスト以下の種族妖精のキャラ1体を場に登場する。,4,妖精,,4,4,第一弾
AAB016,キャラ,射命丸 文,先制攻撃 速攻 起動 自ターン1回のみ①：カード名を1つ宣言をするその後相手プレイヤーの手札を確認してその中に宣言したカードと同じ名称を持つカードがある場合その名称を持つカード1枚を選んで捨てる。,4,天狗,,4,2,第一弾
AAB017,キャラ,火焔猫燐,登場時：自分の手札から3コスト以下のキャラを1枚を自分の場に登場する。,4,妖獣,,2,3,第一弾
AAB018,キャラ,アリス・マーガトロイド,起動 自ターン：自分の場の種族人形のユニット1体を選択しそれを破壊する、そうした場合相手プレイヤー又は相手キャラ1体に2ダメージを与える。常時：自分の場の人形ユニットに守護を付与する。,4,魔術師,,3,5,第一弾
AAB019,キャラ,古明地 こいし,隠蔽 常時：このキャラは効果ダメージと自身の効果以外のカード効果を受けない。,4,妖怪,,4,4,第一弾
